Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 61.04      3.49     3.49   263165     0.00     0.00  mvl(std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > > const&, unsigned char)
  6.65      3.87     0.38 240145940     0.00     0.00  std::exp(float)
  6.47      4.24     0.37 245291000     0.00     0.00  std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::operator[](unsigned long) const
  5.25      4.54     0.30 14754877     0.00     0.00  boundarypt(cv::Point_<int>, int, int)
  3.50      4.74     0.20 20630432     0.00     0.00  std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::size() const
  2.97      4.91     0.17   263165     0.00     0.00  nearestNeighbors(cv::Point_<int>, cv::Mat, cv::Mat_<unsigned char>&, std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >&)
  1.75      5.01     0.10  1840120     0.00     0.00  operator new(unsigned long, void*)
  1.57      5.10     0.09 18963489     0.00     0.00  cv::Point_<int>::Point_(cv::Point_<int> const&)
  1.40      5.18     0.08 11802624     0.00     0.00  cv::Mat_<unsigned char>::operator()(int, int)
  1.05      5.24     0.06  1578990     0.00     0.00  float* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  1.05      5.30     0.06 15018046     0.00     0.00  cv::Point_<int>::Point_(int, int)
  0.87      5.35     0.05 15281213     0.00     0.00  cv::Point_<int>::operator=(cv::Point_<int> const&)
  0.52      5.38     0.03  1052660     0.00     0.00  dist(cv::Point_<int>, cv::Point_<int>)
  0.52      5.41     0.03   789495     0.00     0.00  std::vector<float, std::allocator<float> >::_M_insert_aux(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.52      5.44     0.03   263165     0.00     0.00  mean(std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > > const&)
  0.35      5.46     0.02  1578990     0.00     0.00  float* std::uninitialized_copy<float*, float*>(float*, float*, float*)
  0.35      5.48     0.02  1578990     0.00     0.00  float* std::__uninitialized_move_a<float*, float*, std::allocator<float> >(float*, float*, float*, std::allocator<float>&)
  0.35      5.50     0.02  1578990     0.00     0.00  float* std::copy<float*, float*>(float*, float*, float*)
  0.35      5.52     0.02   789495     0.00     0.00  std::vector<float, std::allocator<float> >::_M_check_len(unsigned long, char const*) const
  0.17      5.53     0.01  7894950     0.00     0.00  std::_Iter_base<float*, false>::_S_base(float*)
  0.17      5.54     0.01  4736970     0.00     0.00  std::_Niter_base<float*>::iterator_type std::__niter_base<float*>(float*)
  0.17      5.55     0.01  3157980     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.17      5.56     0.01  1578990     0.00     0.00  float* std::__copy_move_a<false, float*, float*>(float*, float*, float*)
  0.17      5.57     0.01  1578990     0.00     0.00  float* std::__copy_move_a2<false, float*, float*>(float*, float*, float*)
  0.17      5.58     0.01  1578990     0.00     0.00  float* std::__uninitialized_copy_a<float*, float*, float>(float*, float*, float*, std::allocator<float>&)
  0.17      5.59     0.01  1052660     0.00     0.00  __gnu_cxx::new_allocator<float>::construct(float*, float const&)
  0.17      5.60     0.01  1052660     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float const&)
  0.17      5.61     0.01   789495     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.17      5.62     0.01   524287     0.00     0.00  void std::_Construct<cv::Point_<int>, cv::Point_<int> >(cv::Point_<int>*, cv::Point_<int> const&)
  0.17      5.63     0.01   263170     0.00     0.00  bool __gnu_cxx::operator!=<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&)
  0.17      5.64     0.01   263169     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::push_back(cv::Point_<int> const&)
  0.17      5.65     0.01   263168     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::operator++()
  0.17      5.66     0.01   263165     0.00     0.00  cv::Mat::Mat(cv::Mat const&)
  0.17      5.67     0.01   263165     0.00     0.00  cv::Point_<int>::Point_()
  0.17      5.68     0.01       40     0.00     0.00  cv::Point_<int>* std::__uninitialized_copy<false>::uninitialized_copy<cv::Point_<int>*, cv::Point_<int>*>(cv::Point_<int>*, cv::Point_<int>*, cv::Point_<int>*)
  0.17      5.69     0.01        1     0.01     0.01  approx_cost(cv::Mat const&)
  0.17      5.70     0.01        1     0.01     0.01  cv::Scalar_<double>::Scalar_(double)
  0.17      5.71     0.01                             __gnu_cxx::new_allocator<float>::destroy(float*)
  0.09      5.72     0.01  1578990     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.09      5.72     0.01                             float* std::__copy_move_backward_a<false, float*, float*>(float*, float*, float*)
  0.00      5.72     0.00  3157980     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      5.72     0.00  3157980     0.00     0.00  std::_Miter_base<float*>::iterator_type std::__miter_base<float*>(float*)
  0.00      5.72     0.00  2631650     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      5.72     0.00  2368485     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      5.72     0.00  2105320     0.00     0.00  std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::operator[](unsigned long)
  0.00      5.72     0.00  1578990     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      5.72     0.00  1578990     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00      5.72     0.00  1578990     0.00     0.00  float* std::__uninitialized_copy<true>::uninitialized_copy<float*, float*>(float*, float*, float*)
  0.00      5.72     0.00  1052756     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::base() const
  0.00      5.72     0.00  1052668     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::operator[](unsigned long)
  0.00      5.72     0.00  1052660     0.00     0.00  unsigned char& cv::Mat::at<unsigned char>(int, int)
  0.00      5.72     0.00  1052660     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00      5.72     0.00  1052660     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00      5.72     0.00  1052660     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
